,artist,name song,num reproduction,time duration
0,Kendrick Lamar,"All The Stars (with SZA) - From ""Black Panther: The Album""",2949901622,3:52
1,Kendrick Lamar,luther (with sza),1477776885,2:57
2,Kendrick Lamar,Not Like Us,1899656570,4:34
3,Kendrick Lamar,Money Trees,2194305194,6:26
4,Kendrick Lamar,HUMBLE.,2895647865,2:57
5,Kendrick Lamar,tv off (feat. lefty gunplay),860212058,3:40
6,Kendrick Lamar,Like That,985203208,4:27
7,Kendrick Lamar,LOVE. FEAT. ZACARI.,1858123991,3:33
8,Kendrick Lamar,Swimming Pools (Drank),1132257836,4:07
9,Kendrick Lamar,family ties (with Kendrick Lamar),1159605066,4:12
