artist,name song,num reproduction,time duration
Geometric Vision,Jelly Dream,1923978,4:03
Geometric Vision,Fire Fire Fire,713742,3:46
Geometric Vision,Tower of Glass - Geometric Vision Remix,196291,4:16
Geometric Vision,Slowemotion (Molchat Doma Remix),328736,4:26
Geometric Vision,Slowemotion,396056,4:32
Geometric Vision,Letania,172113,4:47
Geometric Vision,Stella,7732,3:12
Geometric Vision,79 D.C.,219445,3:06
Geometric Vision,Another Day Without Blue,162797,3:00
Geometric Vision,Luna,53383,6:00
Mareux,The Perfect Girl,591323571,3:14
Mareux,Killer,57037091,3:06
Mareux,Lovers From The Past,65862338,3:19
Mareux,The Perfect Girl - The Motion Retrowave Remix,90432306,3:01
Mareux,Summertime,39968766,3:37
Mareux,baby give me more (feat. Mareux),3427493,3:45
Mareux,The Perfect Girl - Instrumental,39483278,3:14
Mareux,Night Vision,8332732,3:50
Mareux,Laugh Now Cry Later,4266611,3:19
Mareux,Glass (feat. King Woman),6301946,4:07
